run,score_map,pool,auroc_pct,aupr_pct
RESC_diag_K10,anomaly_map,max,70.5857,63.7435
RESC_diag_K10,anomaly_map,mean,80.3635,75.2587
RESC_diag_K10,anomaly_map,topk,78.9314,74.0409
RESC_diag_K10,distance_map,max,61.1073,57.5872
RESC_diag_K10,distance_map,mean,81.2803,77.3222
RESC_diag_K10,distance_map,topk,67.4741,64.2824
RESC_diag_K10,cosine_distance_map,max,60.1775,56.5949
RESC_diag_K10,cosine_distance_map,mean,81.5470,77.6005
RESC_diag_K10,cosine_distance_map,topk,66.4779,62.9159
RESC_diag_K10,weighted_distance_map,max,67.1841,59.4072
RESC_diag_K10,weighted_distance_map,mean,78.7599,73.9751
RESC_diag_K10,weighted_distance_map,topk,76.4934,70.8231
RESC_diag_K10,max_log_prob_map,max,70.5793,63.7325
RESC_diag_K10,max_log_prob_map,mean,80.3630,75.2642
RESC_diag_K10,max_log_prob_map,topk,78.9492,74.0559
RESC_diag_K10,squared_distance_map,max,61.1073,57.5872
RESC_diag_K10,squared_distance_map,mean,81.4244,77.4157
RESC_diag_K10,squared_distance_map,topk,67.3207,64.1407
RESC_diag_K10,squared_weighted_distance_map,max,67.1841,59.4072
RESC_diag_K10,squared_weighted_distance_map,mean,78.9378,74.1776
RESC_diag_K10,squared_weighted_distance_map,topk,76.3524,70.6496
RESC_diag_K100,anomaly_map,max,84.2262,80.8135
RESC_diag_K100,anomaly_map,mean,79.4609,76.2357
RESC_diag_K100,anomaly_map,topk,85.8643,83.4403
RESC_diag_K100,distance_map,max,81.9025,78.2924
RESC_diag_K100,distance_map,mean,79.7169,77.4070
RESC_diag_K100,distance_map,topk,85.7232,83.9188
RESC_diag_K100,cosine_distance_map,max,81.3612,77.5261
RESC_diag_K100,cosine_distance_map,mean,80.8066,78.7116
RESC_diag_K100,cosine_distance_map,topk,85.5963,83.6560
RESC_diag_K100,weighted_distance_map,max,80.7330,76.4914
RESC_diag_K100,weighted_distance_map,mean,78.6445,76.4105
RESC_diag_K100,weighted_distance_map,topk,84.3178,81.5407
RESC_diag_K100,max_log_prob_map,max,84.2561,80.8457
RESC_diag_K100,max_log_prob_map,mean,79.4739,76.2452
RESC_diag_K100,max_log_prob_map,topk,85.9061,83.4963
RESC_diag_K100,squared_distance_map,max,81.9025,78.2924
RESC_diag_K100,squared_distance_map,mean,80.5562,78.3425
RESC_diag_K100,squared_distance_map,topk,85.6897,83.8702
RESC_diag_K100,squared_weighted_distance_map,max,80.7330,76.4914
RESC_diag_K100,squared_weighted_distance_map,mean,78.9292,76.7073
RESC_diag_K100,squared_weighted_distance_map,topk,84.2929,81.5021
RESC_diag_K150,anomaly_map,max,77.8532,68.2738
RESC_diag_K150,anomaly_map,mean,79.1208,74.6702
RESC_diag_K150,anomaly_map,topk,82.9231,74.3374
RESC_diag_K150,distance_map,max,81.9826,78.2528
RESC_diag_K150,distance_map,mean,79.4466,76.0123
RESC_diag_K150,distance_map,topk,86.0408,84.2950
RESC_diag_K150,cosine_distance_map,max,81.1774,77.1390
RESC_diag_K150,cosine_distance_map,mean,80.8543,77.8025
RESC_diag_K150,cosine_distance_map,topk,85.7063,83.8833
RESC_diag_K150,weighted_distance_map,max,73.0761,58.1431
RESC_diag_K150,weighted_distance_map,mean,80.8220,75.6535
RESC_diag_K150,weighted_distance_map,topk,77.7347,63.6338
RESC_diag_K150,max_log_prob_map,max,77.8636,68.3115
RESC_diag_K150,max_log_prob_map,mean,79.1386,74.6840
RESC_diag_K150,max_log_prob_map,topk,82.9343,74.3591
RESC_diag_K150,squared_distance_map,max,81.9826,78.2528
RESC_diag_K150,squared_distance_map,mean,80.5693,77.3523
RESC_diag_K150,squared_distance_map,topk,85.9834,84.2230
RESC_diag_K150,squared_weighted_distance_map,max,73.0761,58.1431
RESC_diag_K150,squared_weighted_distance_map,mean,80.9356,75.5075
RESC_diag_K150,squared_weighted_distance_map,topk,77.6755,63.5595
brain_diag_repro,anomaly_map,max,71.6144,90.7274
brain_diag_repro,anomaly_map,mean,65.4701,88.4646
brain_diag_repro,anomaly_map,topk,78.4998,93.0545
brain_diag_repro,distance_map,max,72.0200,91.0755
brain_diag_repro,distance_map,mean,68.1293,89.6975
brain_diag_repro,distance_map,topk,80.3778,93.8114
